iteration,event_id,alpha,beta,danger_signal,safety_signal,diversity,diversity_norm,current_fitness,output_fitness,stagnation,stagnation_length,diagnosis,s_t,delta_fitness,threshold,stagnation_state,event_active,control_mode,action_taken,action_justification,alpha_scale,beta_scale,rescue_fraction,rescue_mode,rescued_agents,shap_requested,shap_reason,decision_shap_used,decision_dominant_feature,decision_harmful_feature,decision_harmful_value,decision_harmful_mass,decision_policy,dominant_feature,trace_role,effect_label,delta_fitness_post
0,0,1.0,0.9933071490757152,-0.8564893065953747,0.9867472153378646,174.64609947141872,0.9999999999994275,5329.249578403493,5329.249578403493,0,0,no_stagnation,0,inf,0.005329249578403492,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
1,0,0.998,0.9931728675778618,-1.632368002578181,0.8698557120089315,121.74672839484238,0.6971053391014715,5112.496980707534,5112.496980707534,0,0,no_stagnation,0,inf,0.005112496980707534,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
2,0,0.996,0.993035910822238,-1.3176502779817856,0.06317189225198372,121.74953494315648,0.6971214090184212,5112.496980707534,5112.496980707534,0,1,no_stagnation,1,inf,0.005112496980707534,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
3,0,0.994,0.9928962262756112,1.8723990909156893,0.7738609642776244,121.77419091838588,0.6972625858056728,5112.496980707534,5112.496980707534,0,2,no_stagnation,2,inf,0.005112496980707534,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
4,0,0.992,0.9927537604041685,-0.9281617277675741,0.13924933356879265,122.23515302801061,0.699901992646247,5112.496980707534,5112.496980707534,0,3,no_stagnation,3,inf,0.005112496980707534,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
5,0,0.99,0.992608458655718,0.9235013091602792,0.8678618227907717,121.23648255486002,0.6941837402708857,5112.496980707534,5112.496980707534,0,4,no_stagnation,4,inf,0.005112496980707534,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
6,0,0.988,0.9924602654416266,0.251989236498182,0.5104200359089622,117.4851781630052,0.6727042774989926,4814.089429699941,4814.089429699941,0,0,no_stagnation,0,inf,0.004814089429699941,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
7,0,0.986,0.9923091241184917,1.024519952477361,0.6365816372389018,119.39941153196992,0.6836649194758659,4814.089429699941,4814.089429699941,0,1,no_stagnation,1,inf,0.004814089429699941,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
8,0,0.984,0.9921549769695444,0.003197090496352274,0.3442045909797272,177.96381097830957,1.018996768418134,4814.089429699941,4814.089429699941,0,2,no_stagnation,2,inf,0.004814089429699941,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
9,0,0.982,0.9919977651857838,0.4245529741997748,0.5603004432554708,149.22746433264686,0.8544563250150506,4588.639256094142,4588.639256094142,0,0,no_stagnation,0,inf,0.004588639256094142,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
